,timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m.direction,wind10m.speed,pais
0,3,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 2}, {'layer': '900mb', 'rh': -1}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 1}, {'layer': '700mb', 'rh': 2}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 2}, {'layer': '550mb', 'rh': 1}, {'layer': '500mb', 'rh': 2}, {'layer': '450mb', 'rh': 4}, {'layer': '400mb', 'rh': 5}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': 12}, {'layer': '250mb', 'rh': 8}, {'layer': '200mb', 'rh': 4}]","[{'layer': '950mb', 'direction': 235, 'speed': 2}, {'layer': '900mb', 'direction': 285, 'speed': 2}, {'layer': '850mb', 'direction': 295, 'speed': 2}, {'layer': '800mb', 'direction': 320, 'speed': 3}, {'layer': '750mb', 'direction': 335, 'speed': 3}, {'layer': '700mb', 'direction': 330, 'speed': 3}, {'layer': '650mb', 'direction': 325, 'speed': 3}, {'layer': '600mb', 'direction': 320, 'speed': 4}, {'layer': '550mb', 'direction': 315, 'speed': 4}, {'layer': '500mb', 'direction': 315, 'speed': 4}, {'layer': '450mb', 'direction': 320, 'speed': 4}, {'layer': '400mb', 'direction': 335, 'speed': 4}, {'layer': '350mb', 'direction': 340, 'speed': 4}, {'layer': '300mb', 'direction': 5, 'speed': 5}, {'layer': '250mb', 'direction': 0, 'speed': 6}, {'layer': '200mb', 'direction': 0, 'speed': 6}]",13,15,3,1026,none,0,0,195,3,USA
1,6,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 1}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': 0}, {'layer': '750mb', 'rh': 1}, {'layer': '700mb', 'rh': 2}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 1}, {'layer': '550mb', 'rh': 4}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 5}, {'layer': '400mb', 'rh': 6}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 10}, {'layer': '250mb', 'rh': 12}, {'layer': '200mb', 'rh': 12}]","[{'layer': '950mb', 'direction': 220, 'speed': 3}, {'layer': '900mb', 'direction': 255, 'speed': 3}, {'layer': '850mb', 'direction': 295, 'speed': 3}, {'layer': '800mb', 'direction': 310, 'speed': 3}, {'layer': '750mb', 'direction': 310, 'speed': 3}, {'layer': '700mb', 'direction': 310, 'speed': 3}, {'layer': '650mb', 'direction': 315, 'speed': 3}, {'layer': '600mb', 'direction': 330, 'speed': 3}, {'layer': '550mb', 'direction': 330, 'speed': 4}, {'layer': '500mb', 'direction': 335, 'speed': 4}, {'layer': '450mb', 'direction': 325, 'speed': 4}, {'layer': '400mb', 'direction': 315, 'speed': 4}, {'layer': '350mb', 'direction': 335, 'speed': 4}, {'layer': '300mb', 'direction': 345, 'speed': 5}, {'layer': '250mb', 'direction': 350, 'speed': 6}, {'layer': '200mb', 'direction': 350, 'speed': 7}]",14,10,9,1026,none,0,0,215,3,USA
2,9,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 6}, {'layer': '900mb', 'rh': 1}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 2}, {'layer': '550mb', 'rh': 3}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 16}, {'layer': '300mb', 'rh': 16}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 13}]","[{'layer': '950mb', 'direction': 220, 'speed': 3}, {'layer': '900mb', 'direction': 250, 'speed': 3}, {'layer': '850mb', 'direction': 305, 'speed': 2}, {'layer': '800mb', 'direction': 320, 'speed': 3}, {'layer': '750mb', 'direction': 310, 'speed': 3}, {'layer': '700mb', 'direction': 300, 'speed': 3}, {'layer': '650mb', 'direction': 310, 'speed': 4}, {'layer': '600mb', 'direction': 320, 'speed': 3}, {'layer': '550mb', 'direction': 330, 'speed': 3}, {'layer': '500mb', 'direction': 330, 'speed': 4}, {'layer': '450mb', 'direction': 315, 'speed': 5}, {'layer': '400mb', 'direction': 315, 'speed': 5}, {'layer': '350mb', 'direction': 325, 'speed': 5}, {'layer': '300mb', 'direction': 320, 'speed': 5}, {'layer': '250mb', 'direction': 325, 'speed': 5}, {'layer': '200mb', 'direction': 330, 'speed': 6}]",13,10,9,1026,none,0,0,250,2,USA
3,12,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 3}, {'layer': '900mb', 'rh': 0}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 1}, {'layer': '700mb', 'rh': 2}, {'layer': '650mb', 'rh': 2}, {'layer': '600mb', 'rh': 0}, {'layer': '550mb', 'rh': 1}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 10}, {'layer': '400mb', 'rh': 16}, {'layer': '350mb', 'rh': 15}, {'layer': '300mb', 'rh': 10}, {'layer': '250mb', 'rh': 11}, {'layer': '200mb', 'rh': 13}]","[{'layer': '950mb', 'direction': 260, 'speed': 2}, {'layer': '900mb', 'direction': 260, 'speed': 2}, {'layer': '850mb', 'direction': 275, 'speed': 2}, {'layer': '800mb', 'direction': 295, 'speed': 2}, {'layer': '750mb', 'direction': 300, 'speed': 3}, {'layer': '700mb', 'direction': 300, 'speed': 3}, {'layer': '650mb', 'direction': 305, 'speed': 4}, {'layer': '600mb', 'direction': 295, 'speed': 3}, {'layer': '550mb', 'direction': 310, 'speed': 3}, {'layer': '500mb', 'direction': 315, 'speed': 5}, {'layer': '450mb', 'direction': 320, 'speed': 5}, {'layer': '400mb', 'direction': 320, 'speed': 5}, {'layer': '350mb', 'direction': 315, 'speed': 5}, {'layer': '300mb', 'direction': 320, 'speed': 5}, {'layer': '250mb', 'direction': 325, 'speed': 6}, {'layer': '200mb', 'direction': 300, 'speed': 6}]",12,15,6,1025,none,0,0,310,2,USA
4,15,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 1}, {'layer': '900mb', 'rh': 0}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': 0}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': -1}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': 12}, {'layer': '400mb', 'rh': 15}, {'layer': '350mb', 'rh': 14}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': 330, 'speed': 2}, {'layer': '900mb', 'direction': 300, 'speed': 2}, {'layer': '850mb', 'direction': 290, 'speed': 2}, {'layer': '800mb', 'direction': 295, 'speed': 2}, {'layer': '750mb', 'direction': 295, 'speed': 3}, {'layer': '700mb', 'direction': 295, 'speed': 4}, {'layer': '650mb', 'direction': 295, 'speed': 4}, {'layer': '600mb', 'direction': 305, 'speed': 4}, {'layer': '550mb', 'direction': 305, 'speed': 4}, {'layer': '500mb', 'direction': 310, 'speed': 5}, {'layer': '450mb', 'direction': 315, 'speed': 6}, {'layer': '400mb', 'direction': 310, 'speed': 5}, {'layer': '350mb', 'direction': 305, 'speed': 5}, {'layer': '300mb', 'direction': 310, 'speed': 5}, {'layer': '250mb', 'direction': 310, 'speed': 6}, {'layer': '200mb', 'direction': 305, 'speed': 7}]",12,15,2,1024,none,0,0,275,2,USA
5,18,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 2}, {'layer': '900mb', 'rh': 0}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -3}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -1}, {'layer': '450mb', 'rh': 8}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 7}, {'layer': '250mb', 'rh': 14}, {'layer': '200mb', 'rh': 12}]","[{'layer': '950mb', 'direction': 50, 'speed': 3}, {'layer': '900mb', 'direction': 50, 'speed': 3}, {'layer': '850mb', 'direction': 25, 'speed': 3}, {'layer': '800mb', 'direction': 340, 'speed': 2}, {'layer': '750mb', 'direction': 290, 'speed': 3}, {'layer': '700mb', 'direction': 285, 'speed': 4}, {'layer': '650mb', 'direction': 285, 'speed': 4}, {'layer': '600mb', 'direction': 290, 'speed': 5}, {'layer': '550mb', 'direction': 300, 'speed': 5}, {'layer': '500mb', 'direction': 310, 'speed': 5}, {'layer': '450mb', 'direction': 315, 'speed': 6}, {'layer': '400mb', 'direction': 310, 'speed': 5}, {'layer': '350mb', 'direction': 315, 'speed': 5}, {'layer': '300mb', 'direction': 320, 'speed': 5}, {'layer': '250mb', 'direction': 325, 'speed': 6}, {'layer': '200mb', 'direction': 310, 'speed': 7}]",12,15,2,1024,none,0,0,25,2,USA
6,21,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 3}, {'layer': '900mb', 'rh': 1}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': -4}, {'layer': '700mb', 'rh': -4}, {'layer': '650mb', 'rh': -4}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': 13}, {'layer': '500mb', 'rh': 14}, {'layer': '450mb', 'rh': 7}, {'layer': '400mb', 'rh': 4}, {'layer': '350mb', 'rh': 5}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 14}, {'layer': '200mb', 'rh': 11}]","[{'layer': '950mb', 'direction': 20, 'speed': 2}, {'layer': '900mb', 'direction': 355, 'speed': 2}, {'layer': '850mb', 'direction': 315, 'speed': 2}, {'layer': '800mb', 'direction': 300, 'speed': 3}, {'layer': '750mb', 'direction': 300, 'speed': 3}, {'layer': '700mb', 'direction': 290, 'speed': 4}, {'layer': '650mb', 'direction': 290, 'speed': 5}, {'layer': '600mb', 'direction': 300, 'speed': 5}, {'layer': '550mb', 'direction': 305, 'speed': 5}, {'layer': '500mb', 'direction': 305, 'speed': 5}, {'layer': '450mb', 'direction': 300, 'speed': 6}, {'layer': '400mb', 'direction': 300, 'speed': 6}, {'layer': '350mb', 'direction': 300, 'speed': 5}, {'layer': '300mb', 'direction': 290, 'speed': 5}, {'layer': '250mb', 'direction': 310, 'speed': 7}, {'layer': '200mb', 'direction': 310, 'speed': 7}]",12,15,0,1026,none,0,0,340,2,USA
7,24,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 1}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 8}, {'layer': '750mb', 'rh': 1}, {'layer': '700mb', 'rh': 3}, {'layer': '650mb', 'rh': 10}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 1}, {'layer': '500mb', 'rh': 10}, {'layer': '450mb', 'rh': 9}, {'layer': '400mb', 'rh': 4}, {'layer': '350mb', 'rh': 2}, {'layer': '300mb', 'rh': 9}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 10}]","[{'layer': '950mb', 'direction': 270, 'speed': 2}, {'layer': '900mb', 'direction': 350, 'speed': 3}, {'layer': '850mb', 'direction': 350, 'speed': 4}, {'layer': '800mb', 'direction': 340, 'speed': 4}, {'layer': '750mb', 'direction': 325, 'speed': 3}, {'layer': '700mb', 'direction': 310, 'speed': 4}, {'layer': '650mb', 'direction': 310, 'speed': 4}, {'layer': '600mb', 'direction': 315, 'speed': 4}, {'layer': '550mb', 'direction': 320, 'speed': 4}, {'layer': '500mb', 'direction': 310, 'speed': 5}, {'layer': '450mb', 'direction': 300, 'speed': 6}, {'layer': '400mb', 'direction': 305, 'speed': 6}, {'layer': '350mb', 'direction': 295, 'speed': 5}, {'layer': '300mb', 'direction': 300, 'speed': 6}, {'layer': '250mb', 'direction': 295, 'speed': 6}, {'layer': '200mb', 'direction': 310, 'speed': 8}]",14,15,0,1026,none,0,0,205,2,USA
8,27,4,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 3}, {'layer': '900mb', 'rh': 6}, {'layer': '850mb', 'rh': 8}, {'layer': '800mb', 'rh': 11}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': 1}, {'layer': '500mb', 'rh': 6}, {'layer': '450mb', 'rh': 14}, {'layer': '400mb', 'rh': 2}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': 8}, {'layer': '250mb', 'rh': 9}, {'layer': '200mb', 'rh': 10}]","[{'layer': '950mb', 'direction': 60, 'speed': 2}, {'layer': '900mb', 'direction': 15, 'speed': 3}, {'layer': '850mb', 'direction': 355, 'speed': 3}, {'layer': '800mb', 'direction': 335, 'speed': 4}, {'layer': '750mb', 'direction': 340, 'speed': 5}, {'layer': '700mb', 'direction': 330, 'speed': 4}, {'layer': '650mb', 'direction': 320, 'speed': 4}, {'layer': '600mb', 'direction': 325, 'speed': 5}, {'layer': '550mb', 'direction': 325, 'speed': 5}, {'layer': '500mb', 'direction': 320, 'speed': 5}, {'layer': '450mb', 'direction': 305, 'speed': 5}, {'layer': '400mb', 'direction': 305, 'speed': 6}, {'layer': '350mb', 'direction': 300, 'speed': 6}, {'layer': '300mb', 'direction': 295, 'speed': 6}, {'layer': '250mb', 'direction': 290, 'speed': 7}, {'layer': '200mb', 'direction': 310, 'speed': 9}]",14,10,3,1025,none,0,0,205,3,USA
9,30,5,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 5}, {'layer': '900mb', 'rh': 6}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 5}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': 14}, {'layer': '400mb', 'rh': 12}, {'layer': '350mb', 'rh': 12}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 8}, {'layer': '200mb', 'rh': 7}]","[{'layer': '950mb', 'direction': 20, 'speed': 2}, {'layer': '900mb', 'direction': 345, 'speed': 3}, {'layer': '850mb', 'direction': 335, 'speed': 3}, {'layer': '800mb', 'direction': 340, 'speed': 3}, {'layer': '750mb', 'direction': 345, 'speed': 4}, {'layer': '700mb', 'direction': 345, 'speed': 4}, {'layer': '650mb', 'direction': 340, 'speed': 4}, {'layer': '600mb', 'direction': 335, 'speed': 5}, {'layer': '550mb', 'direction': 335, 'speed': 5}, {'layer': '500mb', 'direction': 330, 'speed': 5}, {'layer': '450mb', 'direction': 315, 'speed': 6}, {'layer': '400mb', 'direction': 315, 'speed': 6}, {'layer': '350mb', 'direction': 305, 'speed': 6}, {'layer': '300mb', 'direction': 305, 'speed': 6}, {'layer': '250mb', 'direction': 295, 'speed': 7}, {'layer': '200mb', 'direction': 330, 'speed': 8}]",14,10,5,1026,none,0,0,210,2,USA
10,33,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 5}, {'layer': '800mb', 'rh': -1}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': 2}, {'layer': '450mb', 'rh': 3}, {'layer': '400mb', 'rh': -3}, {'layer': '350mb', 'rh': -2}, {'layer': '300mb', 'rh': 1}, {'layer': '250mb', 'rh': 5}, {'layer': '200mb', 'rh': 5}]","[{'layer': '950mb', 'direction': 210, 'speed': 3}, {'layer': '900mb', 'direction': 245, 'speed': 3}, {'layer': '850mb', 'direction': 305, 'speed': 3}, {'layer': '800mb', 'direction': 5, 'speed': 3}, {'layer': '750mb', 'direction': 5, 'speed': 4}, {'layer': '700mb', 'direction': 0, 'speed': 4}, {'layer': '650mb', 'direction': 0, 'speed': 4}, {'layer': '600mb', 'direction': 355, 'speed': 4}, {'layer': '550mb', 'direction': 350, 'speed': 4}, {'layer': '500mb', 'direction': 345, 'speed': 5}, {'layer': '450mb', 'direction': 335, 'speed': 6}, {'layer': '400mb', 'direction': 335, 'speed': 6}, {'layer': '350mb', 'direction': 340, 'speed': 6}, {'layer': '300mb', 'direction': 345, 'speed': 6}, {'layer': '250mb', 'direction': 325, 'speed': 6}, {'layer': '200mb', 'direction': 345, 'speed': 8}]",14,15,4,1027,none,0,0,260,2,USA
11,36,4,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 3}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 3}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': -1}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -3}, {'layer': '350mb', 'rh': 3}, {'layer': '300mb', 'rh': 10}, {'layer': '250mb', 'rh': 6}, {'layer': '200mb', 'rh': 9}]","[{'layer': '950mb', 'direction': 245, 'speed': 2}, {'layer': '900mb', 'direction': 265, 'speed': 2}, {'layer': '850mb', 'direction': 320, 'speed': 3}, {'layer': '800mb', 'direction': 355, 'speed': 3}, {'layer': '750mb', 'direction': 15, 'speed': 3}, {'layer': '700mb', 'direction': 25, 'speed': 3}, {'layer': '650mb', 'direction': 5, 'speed': 3}, {'layer': '600mb', 'direction': 345, 'speed': 3}, {'layer': '550mb', 'direction': 0, 'speed': 3}, {'layer': '500mb', 'direction': 355, 'speed': 5}, {'layer': '450mb', 'direction': 345, 'speed': 5}, {'layer': '400mb', 'direction': 15, 'speed': 6}, {'layer': '350mb', 'direction': 355, 'speed': 6}, {'layer': '300mb', 'direction': 345, 'speed': 7}, {'layer': '250mb', 'direction': 330, 'speed': 7}, {'layer': '200mb', 'direction': 335, 'speed': 7}]",13,15,5,1028,none,0,0,270,2,USA
12,39,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 4}, {'layer': '850mb', 'rh': 2}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': 4}, {'layer': '350mb', 'rh': 2}, {'layer': '300mb', 'rh': 1}, {'layer': '250mb', 'rh': 14}, {'layer': '200mb', 'rh': 9}]","[{'layer': '950mb', 'direction': 150, 'speed': 2}, {'layer': '900mb', 'direction': 105, 'speed': 2}, {'layer': '850mb', 'direction': 60, 'speed': 2}, {'layer': '800mb', 'direction': 355, 'speed': 3}, {'layer': '750mb', 'direction': 15, 'speed': 3}, {'layer': '700mb', 'direction': 0, 'speed': 3}, {'layer': '650mb', 'direction': 335, 'speed': 3}, {'layer': '600mb', 'direction': 325, 'speed': 3}, {'layer': '550mb', 'direction': 335, 'speed': 3}, {'layer': '500mb', 'direction': 350, 'speed': 4}, {'layer': '450mb', 'direction': 340, 'speed': 4}, {'layer': '400mb', 'direction': 355, 'speed': 5}, {'layer': '350mb', 'direction': 355, 'speed': 6}, {'layer': '300mb', 'direction': 345, 'speed': 6}, {'layer': '250mb', 'direction': 335, 'speed': 7}, {'layer': '200mb', 'direction': 345, 'speed': 7}]",12,15,5,1027,none,0,0,5,2,USA
13,42,4,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': 0}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': -2}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': 2}, {'layer': '400mb', 'rh': 7}, {'layer': '350mb', 'rh': 8}, {'layer': '300mb', 'rh': 15}, {'layer': '250mb', 'rh': 16}, {'layer': '200mb', 'rh': 6}]","[{'layer': '950mb', 'direction': 255, 'speed': 2}, {'layer': '900mb', 'direction': 245, 'speed': 2}, {'layer': '850mb', 'direction': 265, 'speed': 2}, {'layer': '800mb', 'direction': 295, 'speed': 2}, {'layer': '750mb', 'direction': 300, 'speed': 2}, {'layer': '700mb', 'direction': 340, 'speed': 2}, {'layer': '650mb', 'direction': 310, 'speed': 2}, {'layer': '600mb', 'direction': 295, 'speed': 3}, {'layer': '550mb', 'direction': 320, 'speed': 3}, {'layer': '500mb', 'direction': 340, 'speed': 5}, {'layer': '450mb', 'direction': 335, 'speed': 5}, {'layer': '400mb', 'direction': 345, 'speed': 5}, {'layer': '350mb', 'direction': 335, 'speed': 6}, {'layer': '300mb', 'direction': 330, 'speed': 6}, {'layer': '250mb', 'direction': 340, 'speed': 6}, {'layer': '200mb', 'direction': 350, 'speed': 7}]",12,15,5,1027,none,0,0,5,2,USA
14,45,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 3}, {'layer': '850mb', 'rh': -2}, {'layer': '800mb', 'rh': -3}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': -2}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': 1}, {'layer': '400mb', 'rh': 2}, {'layer': '350mb', 'rh': 7}, {'layer': '300mb', 'rh': 3}, {'layer': '250mb', 'rh': 7}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': 230, 'speed': 2}, {'layer': '900mb', 'direction': 240, 'speed': 3}, {'layer': '850mb', 'direction': 250, 'speed': 3}, {'layer': '800mb', 'direction': 250, 'speed': 2}, {'layer': '750mb', 'direction': 230, 'speed': 2}, {'layer': '700mb', 'direction': 255, 'speed': 2}, {'layer': '650mb', 'direction': 270, 'speed': 3}, {'layer': '600mb', 'direction': 270, 'speed': 3}, {'layer': '550mb', 'direction': 300, 'speed': 3}, {'layer': '500mb', 'direction': 315, 'speed': 3}, {'layer': '450mb', 'direction': 315, 'speed': 4}, {'layer': '400mb', 'direction': 315, 'speed': 5}, {'layer': '350mb', 'direction': 330, 'speed': 5}, {'layer': '300mb', 'direction': 355, 'speed': 5}, {'layer': '250mb', 'direction': 15, 'speed': 6}, {'layer': '200mb', 'direction': 0, 'speed': 6}]",12,15,3,1027,none,0,0,250,2,USA
15,48,4,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 0}, {'layer': '850mb', 'rh': -2}, {'layer': '800mb', 'rh': -3}, {'layer': '750mb', 'rh': -2}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': -1}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': -2}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': 7}, {'layer': '250mb', 'rh': 1}, {'layer': '200mb', 'rh': 11}]","[{'layer': '950mb', 'direction': 225, 'speed': 3}, {'layer': '900mb', 'direction': 245, 'speed': 3}, {'layer': '850mb', 'direction': 250, 'speed': 3}, {'layer': '800mb', 'direction': 230, 'speed': 3}, {'layer': '750mb', 'direction': 220, 'speed': 3}, {'layer': '700mb', 'direction': 230, 'speed': 3}, {'layer': '650mb', 'direction': 265, 'speed': 3}, {'layer': '600mb', 'direction': 280, 'speed': 3}, {'layer': '550mb', 'direction': 290, 'speed': 3}, {'layer': '500mb', 'direction': 290, 'speed': 4}, {'layer': '450mb', 'direction': 285, 'speed': 5}, {'layer': '400mb', 'direction': 295, 'speed': 5}, {'layer': '350mb', 'direction': 320, 'speed': 5}, {'layer': '300mb', 'direction': 0, 'speed': 5}, {'layer': '250mb', 'direction': 20, 'speed': 5}, {'layer': '200mb', 'direction': 355, 'speed': 7}]",13,15,3,1026,none,0,0,200,2,USA
16,51,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 4}, {'layer': '900mb', 'rh': 1}, {'layer': '850mb', 'rh': -1}, {'layer': '800mb', 'rh': -2}, {'layer': '750mb', 'rh': -3}, {'layer': '700mb', 'rh': -2}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': 0}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': 1}, {'layer': '350mb', 'rh': 1}, {'layer': '300mb', 'rh': -1}, {'layer': '250mb', 'rh': 2}, {'layer': '200mb', 'rh': 12}]","[{'layer': '950mb', 'direction': 235, 'speed': 2}, {'layer': '900mb', 'direction': 275, 'speed': 3}, {'layer': '850mb', 'direction': 280, 'speed': 3}, {'layer': '800mb', 'direction': 260, 'speed': 3}, {'layer': '750mb', 'direction': 250, 'speed': 3}, {'layer': '700mb', 'direction': 245, 'speed': 4}, {'layer': '650mb', 'direction': 250, 'speed': 4}, {'layer': '600mb', 'direction': 260, 'speed': 4}, {'layer': '550mb', 'direction': 265, 'speed': 4}, {'layer': '500mb', 'direction': 275, 'speed': 4}, {'layer': '450mb', 'direction': 275, 'speed': 5}, {'layer': '400mb', 'direction': 300, 'speed': 5}, {'layer': '350mb', 'direction': 330, 'speed': 3}, {'layer': '300mb', 'direction': 0, 'speed': 3}, {'layer': '250mb', 'direction': 350, 'speed': 4}, {'layer': '200mb', 'direction': 345, 'speed': 6}]",14,15,5,1024,none,0,0,190,2,USA
